iter	MultiClass
0	1.485714755
1	1.384663853
2	1.297593508
3	1.221289275
4	1.15231877
5	1.095284911
6	1.042839703
7	0.9969101753
8	0.9522008667
9	0.9117863158
10	0.8761973898
11	0.8442022779
12	0.8148064911
13	0.7862721249
14	0.7587983451
15	0.7337754621
16	0.7114270182
17	0.6890986969
18	0.6691972876
19	0.6509886997
20	0.6327338671
21	0.6158233989
22	0.600205607
23	0.5850805124
24	0.5710059722
25	0.5576748916
26	0.5449101771
27	0.5333965167
28	0.5218833481
29	0.5110188392
30	0.5008361824
31	0.489452716
32	0.4794060432
33	0.4703659084
34	0.4606456881
35	0.4531836794
36	0.4443032801
37	0.4358887641
38	0.4281556417
39	0.4217720741
40	0.4143199447
41	0.4085216074
42	0.4030913259
43	0.397653589
44	0.3921405878
45	0.3863306249
46	0.3812528054
47	0.3760138024
48	0.3704989742
49	0.3659327753
50	0.361150992
51	0.3560284726
52	0.3523569516
53	0.3487069979
54	0.3446925562
55	0.3409877498
56	0.3378292665
57	0.3340241888
58	0.3306343
59	0.3276804651
60	0.3252048474
61	0.3219928512
62	0.3186330986
63	0.3166910751
64	0.3131314746
65	0.3107941777
66	0.3081444083
67	0.3057276679
68	0.3034726286
69	0.3018500173
70	0.2986751401
71	0.2964728174
72	0.2948385361
73	0.2923194183
74	0.2900166971
75	0.288266771
76	0.2857233903
77	0.284378257
78	0.281753766
79	0.2801448299
80	0.2787241545
81	0.2757910042
82	0.2746978614
83	0.2727312068
84	0.2711497444
85	0.2690123898
86	0.2672590846
87	0.2658334911
88	0.2646867853
89	0.2630689025
90	0.2617484191
91	0.2603949784
92	0.2583668535
93	0.2568929301
94	0.2556016379
95	0.25388548
96	0.2521854308
97	0.2511468869
98	0.2500642385
99	0.248859557
100	0.2477062794
101	0.2467945197
102	0.2452828792
103	0.2436766611
104	0.2421137483
105	0.2408968388
106	0.2395929892
107	0.2378574294
108	0.2369790256
109	0.2362378392
110	0.234614682
111	0.2327740806
112	0.2318319715
113	0.2309280874
114	0.2291732169
115	0.228204811
116	0.227440133
117	0.2267628113
118	0.2259790732
119	0.2251290083
120	0.2237641162
121	0.2228933052
122	0.2222191825
123	0.2215789627
124	0.2204114338
125	0.2188940831
126	0.2179478473
127	0.2171994133
128	0.2161056568
129	0.2149089922
130	0.2143811828
131	0.2135757815
132	0.2123782874
133	0.2114223306
134	0.210981183
135	0.2104330007
136	0.2095017318
137	0.2087634976
138	0.2076689028
139	0.2069817229
140	0.2063407354
141	0.2055636634
142	0.2044650426
143	0.2037799974
144	0.202864326
145	0.2022637527
146	0.2018782922
147	0.2013861998
148	0.2001692171
149	0.1991339951
150	0.198459179
151	0.1972511327
152	0.1964202553
153	0.1959610258
154	0.1954794036
155	0.1949448583
156	0.1944372407
157	0.1939297547
158	0.1929386117
159	0.1924174484
160	0.191933762
161	0.1915085717
162	0.1906875226
163	0.1902041201
164	0.189848066
165	0.188960213
166	0.1881276925
167	0.1872552437
168	0.1869888491
169	0.1863211137
170	0.1858248285
171	0.1850202929
172	0.1841597959
173	0.183122563
174	0.1826911544
175	0.1817799293
176	0.1810601359
177	0.1805216827
178	0.1802357549
179	0.1800331923
180	0.1793782775
181	0.1789225426
182	0.1781428631
183	0.1777502428
184	0.1772412043
185	0.1764731452
186	0.1760431754
187	0.174897749
188	0.1745171276
189	0.1742608417
190	0.1738164273
191	0.173286211
192	0.173058647
193	0.172496481
194	0.1721083957
195	0.1715176252
196	0.1709800794
197	0.1705701386
198	0.1698646858
199	0.1694393748
