Feature,Importance
cat__model_ California,0.8642486053598042
cat__model_ Fox,0.8639457675668192
cat__model_ i8,0.7225611941541445
cat__model_ Land Cruiser,0.6801490434443886
cat__model_ Caravelle,0.6661969032744901
cat__model_ Up,0.5661067588709812
cat__model_ Supra,0.5652043560446381
cat__model_ KA,0.5536450225512386
cat__model_ i3,0.53652005270805
cat__model_ R8,0.5193004158831871
