Feature,Importance
num__year,0.3345196822740356
num__engineSize,0.13477390322680466
num__mileage,0.0973071208051564
cat__model_ Aygo,0.04164675377633602
cat__Make_audi,0.034575783364713474
cat__Make_BMW,0.028341116664915324
cat__model_ Up,0.02550690440018035
num__mpg,0.02081508342676488
cat__model_ Fiesta,0.018257083851432165
cat__model_ Yaris,0.017975644404867142
