Model,MAE_abs ($),RMSE_abs ($),MAPE (%),RMSE%,R2
Ridge,1559.0728849623274,2555.791132951764,9.395320601708352,12.693679402137587,0.9263105330329794
XGBoost,1412.922785484265,2409.6802732636747,8.44029466542058,11.454664560447897,0.9344951371607184
ANN,1290.8611601066366,2277.408287448389,7.818152358524485,10.565112955809571,0.9414891388048121
